interest,topic,difficulty,learning_step_order,learning_step,description,domain_id
Web Development,JS DOM Navigation,Foundational,19,JS DOM Navigation,"Traversing the DOM tree using parentNode, children, and nextSibling.",0
Web Development,JS DOM Modification,Foundational,20,JS DOM Modification,"Changing HTML content, attributes, and styles dynamically.",0
Web Development,JS Arrays,Foundational,21,JS Arrays,"Mastering array methods like push, pop, shift, unshift, and length.",0
Web Development,JS Array Iteration,Foundational,22,JS Array Iteration,"Using forEach, map, filter, reduce, and every/some for data processing.",0
Web Development,JS Async & Await,Foundational,23,JS Async & Await,Handling asynchronous operations with Promises and the modern async/await syntax.,0
Web Development,JS JSON & Fetch,Foundational,24,JS JSON & Fetch,Fetching data from APIs and parsing JSON responses.,0
Web Development,JS Web APIs,Foundational,25,JS Web APIs,"Working with Fetch, History, and Web Workers for advanced performance.",0
Web Development,React Intro & JSX,Foundational,26,React Intro & JSX,Understanding the component-based architecture and JSX syntax.,0
Web Development,React Props & State,Foundational,27,React Props & State,Managing data flow between components and local state with useState.,0
Web Development,React Hooks (useEffect),Foundational,28,React Hooks (useEffect),"Handling side effects, data fetching, and component lifecycle.",0
Web Development,React Router,Foundational,29,React Router,Implementing client-side routing for multi-page feeling apps.,0
Web Development,State Management (Redux),Foundational,30,State Management (Redux),Centralized state management for complex applications.,0
Web Development,Formik & Yup,Foundational,31,Formik & Yup,Advanced form handling and schema-based validation in React.,0
Web Development,API Integration,Foundational,32,API Integration,Connecting React apps to backend services using Axios and best practices.,0
Web Development,Tailwind CSS Basics,Foundational,33,Tailwind CSS Basics,Utility-first CSS for rapid UI development.,0
Web Development,Material UI Components,Foundational,34,Material UI Components,Using pre-built component libraries for consistent design.,0
Web Development,Next.js Fundamentals,Foundational,35,Next.js Fundamentals,"Server-side rendering, static site generation, and file-based routing.",0
Web Development,Backend with Node.js,Intermediate,36,Backend with Node.js,Building servers with Express.js and handling HTTP requests.,0
Web Development,MongoDB & Mongoose,Intermediate,37,MongoDB & Mongoose,Working with NoSQL databases and defining data schemas.,0
Web Development,JWT Authentication,Intermediate,38,JWT Authentication,Securing applications with JSON Web Tokens and middleware.,0
Web Development,Deployment (Vercel/Netlify),Intermediate,39,Deployment (Vercel/Netlify),Deploying frontend applications and configuring CI/CD pipelines.,0
Web Development,Web Security (CORS/XSS),Intermediate,40,Web Security (CORS/XSS),Understanding and preventing common web vulnerabilities.,0
Web Development,WebSockets Real-time,Intermediate,41,WebSockets Real-time,"Master WebSockets Real-time to build robust, industry-level Web Development projects. This module covers advanced techniques and real-world deployment strategies. Level 1 specialization.",0
Web Development,Progressive Web Apps (PWA),Intermediate,42,Progressive Web Apps (PWA),"Master Progressive Web Apps (PWA) to build robust, industry-level Web Development projects. This module covers advanced techniques and real-world deployment strategies. Level 1 specialization.",0
Web Development,Server-Side Rendering (SSR),Intermediate,43,Server-Side Rendering (SSR),"Master Server-Side Rendering (SSR) to build robust, industry-level Web Development projects. This module covers advanced techniques and real-world deployment strategies. Level 1 specialization.",0
Web Development,Static Site Generation (SSG),Intermediate,44,Static Site Generation (SSG),"Master Static Site Generation (SSG) to build robust, industry-level Web Development projects. This module covers advanced techniques and real-world deployment strategies. Level 1 specialization.",0
Web Development,Web Accessibility (WCAG),Intermediate,45,Web Accessibility (WCAG),"Master Web Accessibility (WCAG) to build robust, industry-level Web Development projects. This module covers advanced techniques and real-world deployment strategies. Level 1 specialization.",0
Web Development,BEM Methodology,Intermediate,46,BEM Methodology,"Master BEM Methodology to build robust, industry-level Web Development projects. This module covers advanced techniques and real-world deployment strategies. Level 1 specialization.",0
Web Development,SASS/SCSS Advanced,Intermediate,47,SASS/SCSS Advanced,"Master SASS/SCSS Advanced to build robust, industry-level Web Development projects. This module covers advanced techniques and real-world deployment strategies. Level 1 specialization.",0
Web Development,Tailwind CSS Workflow,Intermediate,48,Tailwind CSS Workflow,"Master Tailwind CSS Workflow to build robust, industry-level Web Development projects. This module covers advanced techniques and real-world deployment strategies. Level 1 specialization.",0
Web Development,React Hooks (useEffect/useMemo),Intermediate,49,React Hooks (useEffect/useMemo),"Master React Hooks (useEffect/useMemo) to build robust, industry-level Web Development projects. This module covers advanced techniques and real-world deployment strategies. Level 1 specialization.",0
Web Development,Redux Toolkit,Intermediate,50,Redux Toolkit,"Master Redux Toolkit to build robust, industry-level Web Development projects. This module covers advanced techniques and real-world deployment strategies. Level 1 specialization.",0
Web Development,Context API Patterns,Intermediate,51,Context API Patterns,"Master Context API Patterns to build robust, industry-level Web Development projects. This module covers advanced techniques and real-world deployment strategies. Level 1 specialization.",0
Web Development,Next.js App Router,Intermediate,52,Next.js App Router,"Master Next.js App Router to build robust, industry-level Web Development projects. This module covers advanced techniques and real-world deployment strategies. Level 1 specialization.",0
Web Development,TypeScript Interfaces,Intermediate,53,TypeScript Interfaces,"Master TypeScript Interfaces to build robust, industry-level Web Development projects. This module covers advanced techniques and real-world deployment strategies. Level 1 specialization.",0
Web Development,GraphQL Queries,Intermediate,54,GraphQL Queries,"Master GraphQL Queries to build robust, industry-level Web Development projects. This module covers advanced techniques and real-world deployment strategies. Level 1 specialization.",0
Web Development,Apollo Client,Intermediate,55,Apollo Client,"Master Apollo Client to build robust, industry-level Web Development projects. This module covers advanced techniques and real-world deployment strategies. Level 1 specialization.",0
Web Development,Node.js Express Middleware,Intermediate,56,Node.js Express Middleware,"Master Node.js Express Middleware to build robust, industry-level Web Development projects. This module covers advanced techniques and real-world deployment strategies. Level 1 specialization.",0
Web Development,RESTful API Best Practices,Intermediate,57,RESTful API Best Practices,"Master RESTful API Best Practices to build robust, industry-level Web Development projects. This module covers advanced techniques and real-world deployment strategies. Level 1 specialization.",0
Web Development,JWT Authentication,Intermediate,58,JWT Authentication,"Master JWT Authentication to build robust, industry-level Web Development projects. This module covers advanced techniques and real-world deployment strategies. Level 1 specialization.",0
Web Development,OAuth2 & OpenID Connect,Intermediate,59,OAuth2 & OpenID Connect,"Master OAuth2 & OpenID Connect to build robust, industry-level Web Development projects. This module covers advanced techniques and real-world deployment strategies. Level 1 specialization.",0
Web Development,Jest Unit Testing,Intermediate,60,Jest Unit Testing,"Master Jest Unit Testing to build robust, industry-level Web Development projects. This module covers advanced techniques and real-world deployment strategies. Level 1 specialization.",0
Web Development,Cypress E2E Testing,Intermediate,61,Cypress E2E Testing,"Master Cypress E2E Testing to build robust, industry-level Web Development projects. This module covers advanced techniques and real-world deployment strategies. Level 1 specialization.",0
Web Development,Docker Containerization,Intermediate,62,Docker Containerization,"Master Docker Containerization to build robust, industry-level Web Development projects. This module covers advanced techniques and real-world deployment strategies. Level 1 specialization.",0
Web Development,CI/CD GitHub Actions,Intermediate,63,CI/CD GitHub Actions,"Master CI/CD GitHub Actions to build robust, industry-level Web Development projects. This module covers advanced techniques and real-world deployment strategies. Level 1 specialization.",0
Web Development,Web Security (CORS/XSS),Intermediate,64,Web Security (CORS/XSS),"Master Web Security (CORS/XSS) to build robust, industry-level Web Development projects. This module covers advanced techniques and real-world deployment strategies. Level 1 specialization.",0
Web Development,Service Workers Caching,Intermediate,65,Service Workers Caching,"Master Service Workers Caching to build robust, industry-level Web Development projects. This module covers advanced techniques and real-world deployment strategies. Level 1 specialization.",0
Web Development,Web Components Custom Elements,Intermediate,66,Web Components Custom Elements,"Master Web Components Custom Elements to build robust, industry-level Web Development projects. This module covers advanced techniques and real-world deployment strategies. Level 1 specialization.",0
Web Development,WebAssembly (WASM),Intermediate,67,WebAssembly (WASM),"Master WebAssembly (WASM) to build robust, industry-level Web Development projects. This module covers advanced techniques and real-world deployment strategies. Level 1 specialization.",0
Web Development,Chrome DevTools Profiling,Intermediate,68,Chrome DevTools Profiling,"Master Chrome DevTools Profiling to build robust, industry-level Web Development projects. This module covers advanced techniques and real-world deployment strategies. Level 1 specialization.",0
Web Development,Lighthouse Performance,Intermediate,69,Lighthouse Performance,"Master Lighthouse Performance to build robust, industry-level Web Development projects. This module covers advanced techniques and real-world deployment strategies. Level 1 specialization.",0
Web Development,SEO Schema Markup,Intermediate,70,SEO Schema Markup,"Master SEO Schema Markup to build robust, industry-level Web Development projects. This module covers advanced techniques and real-world deployment strategies. Level 1 specialization.",0
Web Development,Monorepo Management,Intermediate,71,Monorepo Management,"Master Monorepo Management to build robust, industry-level Web Development projects. This module covers advanced techniques and real-world deployment strategies. Level 1 specialization.",0
Web Development,Micro-frontends Architecture,Intermediate,72,Micro-frontends Architecture,"Master Micro-frontends Architecture to build robust, industry-level Web Development projects. This module covers advanced techniques and real-world deployment strategies. Level 1 specialization.",0
Web Development,Serverless Functions (AWS/Vercel),Intermediate,73,Serverless Functions (AWS/Vercel),"Master Serverless Functions (AWS/Vercel) to build robust, industry-level Web Development projects. This module covers advanced techniques and real-world deployment strategies. Level 1 specialization.",0
Web Development,Edge Runtime,Intermediate,74,Edge Runtime,"Master Edge Runtime to build robust, industry-level Web Development projects. This module covers advanced techniques and real-world deployment strategies. Level 1 specialization.",0
Web Development,Redis Caching,Intermediate,75,Redis Caching,"Master Redis Caching to build robust, industry-level Web Development projects. This module covers advanced techniques and real-world deployment strategies. Level 1 specialization.",0
Web Development,PostgreSQL Optimization,Intermediate,76,PostgreSQL Optimization,"Master PostgreSQL Optimization to build robust, industry-level Web Development projects. This module covers advanced techniques and real-world deployment strategies. Level 1 specialization.",0
Web Development,MongoDB Aggregations,Intermediate,77,MongoDB Aggregations,"Master MongoDB Aggregations to build robust, industry-level Web Development projects. This module covers advanced techniques and real-world deployment strategies. Level 1 specialization.",0
Web Development,Prisma ORM,Intermediate,78,Prisma ORM,"Master Prisma ORM to build robust, industry-level Web Development projects. This module covers advanced techniques and real-world deployment strategies. Level 1 specialization.",0
Web Development,Storybook Component Dev,Intermediate,79,Storybook Component Dev,"Master Storybook Component Dev to build robust, industry-level Web Development projects. This module covers advanced techniques and real-world deployment strategies. Level 1 specialization.",0
Web Development,Framer Motion Animations,Intermediate,80,Framer Motion Animations,"Master Framer Motion Animations to build robust, industry-level Web Development projects. This module covers advanced techniques and real-world deployment strategies. Level 1 specialization.",0
Web Development,Deep Dive: WebSockets Real-time,Intermediate,81,Deep Dive: WebSockets Real-time,"Master WebSockets Real-time to build robust, industry-level Web Development projects. This module covers advanced techniques and real-world deployment strategies. Level 2 specialization.",0
Web Development,Deep Dive: Progressive Web Apps (PWA),Intermediate,82,Deep Dive: Progressive Web Apps (PWA),"Master Progressive Web Apps (PWA) to build robust, industry-level Web Development projects. This module covers advanced techniques and real-world deployment strategies. Level 2 specialization.",0
Web Development,Deep Dive: Server-Side Rendering (SSR),Intermediate,83,Deep Dive: Server-Side Rendering (SSR),"Master Server-Side Rendering (SSR) to build robust, industry-level Web Development projects. This module covers advanced techniques and real-world deployment strategies. Level 2 specialization.",0
Web Development,Deep Dive: Static Site Generation (SSG),Intermediate,84,Deep Dive: Static Site Generation (SSG),"Master Static Site Generation (SSG) to build robust, industry-level Web Development projects. This module covers advanced techniques and real-world deployment strategies. Level 2 specialization.",0
Web Development,Deep Dive: Web Accessibility (WCAG),Intermediate,85,Deep Dive: Web Accessibility (WCAG),"Master Web Accessibility (WCAG) to build robust, industry-level Web Development projects. This module covers advanced techniques and real-world deployment strategies. Level 2 specialization.",0
Web Development,Deep Dive: BEM Methodology,Intermediate,86,Deep Dive: BEM Methodology,"Master BEM Methodology to build robust, industry-level Web Development projects. This module covers advanced techniques and real-world deployment strategies. Level 2 specialization.",0
Web Development,Deep Dive: SASS/SCSS Advanced,Intermediate,87,Deep Dive: SASS/SCSS Advanced,"Master SASS/SCSS Advanced to build robust, industry-level Web Development projects. This module covers advanced techniques and real-world deployment strategies. Level 2 specialization.",0
Web Development,Deep Dive: Tailwind CSS Workflow,Intermediate,88,Deep Dive: Tailwind CSS Workflow,"Master Tailwind CSS Workflow to build robust, industry-level Web Development projects. This module covers advanced techniques and real-world deployment strategies. Level 2 specialization.",0
Web Development,Deep Dive: React Hooks (useEffect/useMemo),Intermediate,89,Deep Dive: React Hooks (useEffect/useMemo),"Master React Hooks (useEffect/useMemo) to build robust, industry-level Web Development projects. This module covers advanced techniques and real-world deployment strategies. Level 2 specialization.",0
Web Development,Deep Dive: Redux Toolkit,Intermediate,90,Deep Dive: Redux Toolkit,"Master Redux Toolkit to build robust, industry-level Web Development projects. This module covers advanced techniques and real-world deployment strategies. Level 2 specialization.",0
Web Development,Deep Dive: Context API Patterns,Intermediate,91,Deep Dive: Context API Patterns,"Master Context API Patterns to build robust, industry-level Web Development projects. This module covers advanced techniques and real-world deployment strategies. Level 2 specialization.",0
Web Development,Deep Dive: Next.js App Router,Intermediate,92,Deep Dive: Next.js App Router,"Master Next.js App Router to build robust, industry-level Web Development projects. This module covers advanced techniques and real-world deployment strategies. Level 2 specialization.",0
Web Development,Deep Dive: TypeScript Interfaces,Intermediate,93,Deep Dive: TypeScript Interfaces,"Master TypeScript Interfaces to build robust, industry-level Web Development projects. This module covers advanced techniques and real-world deployment strategies. Level 2 specialization.",0
Web Development,Deep Dive: GraphQL Queries,Intermediate,94,Deep Dive: GraphQL Queries,"Master GraphQL Queries to build robust, industry-level Web Development projects. This module covers advanced techniques and real-world deployment strategies. Level 2 specialization.",0
Web Development,Deep Dive: Apollo Client,Intermediate,95,Deep Dive: Apollo Client,"Master Apollo Client to build robust, industry-level Web Development projects. This module covers advanced techniques and real-world deployment strategies. Level 2 specialization.",0
Web Development,Deep Dive: Node.js Express Middleware,Intermediate,96,Deep Dive: Node.js Express Middleware,"Master Node.js Express Middleware to build robust, industry-level Web Development projects. This module covers advanced techniques and real-world deployment strategies. Level 2 specialization.",0
Web Development,Deep Dive: RESTful API Best Practices,Intermediate,97,Deep Dive: RESTful API Best Practices,"Master RESTful API Best Practices to build robust, industry-level Web Development projects. This module covers advanced techniques and real-world deployment strategies. Level 2 specialization.",0
Web Development,Deep Dive: JWT Authentication,Intermediate,98,Deep Dive: JWT Authentication,"Master JWT Authentication to build robust, industry-level Web Development projects. This module covers advanced techniques and real-world deployment strategies. Level 2 specialization.",0
Web Development,Deep Dive: OAuth2 & OpenID Connect,Intermediate,99,Deep Dive: OAuth2 & OpenID Connect,"Master OAuth2 & OpenID Connect to build robust, industry-level Web Development projects. This module covers advanced techniques and real-world deployment strategies. Level 2 specialization.",0
Web Development,Deep Dive: Jest Unit Testing,Intermediate,100,Deep Dive: Jest Unit Testing,"Master Jest Unit Testing to build robust, industry-level Web Development projects. This module covers advanced techniques and real-world deployment strategies. Level 2 specialization.",0
Machine Learning,Intro to AI/ML,Beginner,1,Intro to AI/ML,Understanding the difference between Artificial Intelligence and Machine Learning.,1
Machine Learning,Machine Learning Pipeline,Beginner,2,Machine Learning Pipeline,"The end-to-end process: collection, cleaning, processing, and model selection.",1
Machine Learning,ML Data Types,Beginner,3,ML Data Types,"Understanding Numerical, Categorical, and Ordinal data types in ML context.",1
Machine Learning,Basic Statistics for ML,Beginner,4,Basic Statistics for ML,"Calculating Mean, Median, Mode, Standard Deviation, and Percentiles.",1
Machine Learning,Probability Distributions,Beginner,5,Probability Distributions,"Normal distribution, Uniform distribution, and their importance in ML.",1
Machine Learning,Data Preprocessing,Beginner,6,Data Preprocessing,"Handling missing values, scaling features (Standardization/Normalization).",1
Machine Learning,Linear Regression,Beginner,7,Linear Regression,Predicting continuous values using best-fit lines and R-squared evaluation.,1
Machine Learning,Multiple Regression,Beginner,8,Multiple Regression,Using multiple input features to predict a single continuous target.,1
Machine Learning,Logistic Regression,Beginner,9,Logistic Regression,Binary classification for predicting categories like Yes/No using the sigmoid function.,1
Machine Learning,Decision Trees,Beginner,10,Decision Trees,Flowchart-like models for classification and regression tasks.,1
Machine Learning,Random Forests,Beginner,11,Random Forests,Ensemble learning using multiple trees to reduce overfitting and improve accuracy.,1
Machine Learning,K-Nearest Neighbors (KNN),Beginner,12,K-Nearest Neighbors (KNN),Classifying data based on similarity to neighboring data points.,1
Machine Learning,Support Vector Machines (SVM),Beginner,13,Support Vector Machines (SVM),Finding optimal hyperplanes to separate different classes in high-dimensional space.,1
Machine Learning,Naïve Bayes,Beginner,14,Naïve Bayes,Probabilistic classifier based on Bayes' Theorem with independence assumptions.,1
Machine Learning,K-Means Clustering,Beginner,15,K-Means Clustering,Unsupervised learning for grouping similar data points into K clusters.,1
Machine Learning,Hierarchical Clustering,Foundational,16,Hierarchical Clustering,Building a hierarchy of clusters using agglomerative or divisive methods.,1
Machine Learning,Principal Component Analysis (PCA),Foundational,17,Principal Component Analysis (PCA),Dimensionality reduction technique to simplify complex datasets.,1
Machine Learning,Cross-Validation,Foundational,18,Cross-Validation,Using K-Fold and other techniques to ensure model stability and generalizability.,1
Machine Learning,Model Evaluation Metrics,Foundational,19,Model Evaluation Metrics,"Understanding Accuracy, Precision, Recall, F1-Score, and Confusion Matrices.",1
Machine Learning,Neural Networks Intro,Foundational,20,Neural Networks Intro,"The basics of artificial neurons, weights, biases, and activation functions.",1
Machine Learning,Backpropagation,Foundational,21,Backpropagation,How neural networks learn by calculating gradients and updating weights.,1
Machine Learning,Deep Learning Basics,Foundational,22,Deep Learning Basics,Introduction to multi-layer perceptrons and deep architectures.,1
Machine Learning,Convolutional Neural Nets (CNN),Foundational,23,Convolutional Neural Nets (CNN),Specialized networks for image recognition and spatial data processing.,1
Machine Learning,Recurrent Neural Nets (RNN),Foundational,24,Recurrent Neural Nets (RNN),Sequence modeling for time-series data and natural language processing.,1
Machine Learning,Natural Language Processing (NLP),Foundational,25,Natural Language Processing (NLP),"Tokenization, lemmatization, and sentiment analysis techniques.",1
Machine Learning,Word Embeddings,Foundational,26,Word Embeddings,"Understanding Word2Vec, GloVe, and vector representations of text.",1
Machine Learning,LSTMs & GRUs,Foundational,27,LSTMs & GRUs,Advanced RNN architectures for long-term dependencies in sequences.,1
Machine Learning,Computer Vision Basics,Foundational,28,Computer Vision Basics,Image processing techniques using OpenCV and scikit-image.,1
Machine Learning,Transfer Learning,Foundational,29,Transfer Learning,Using pre-trained models like ResNet or VGG for custom tasks.,1
Machine Learning,Generative AI Intro,Foundational,30,Generative AI Intro,Understanding GANs and Variational Autoencoders (VAEs).,1
Machine Learning,Transformers Architecture,Foundational,31,Transformers Architecture,The foundation of modern LLMs: Self-attention and Encoder-Decoder blocks.,1
Machine Learning,BERT & Fine-tuning,Foundational,32,BERT & Fine-tuning,Using pre-trained Transformer models for NLP tasks.,1
Machine Learning,Model Deployment,Foundational,33,Model Deployment,"Serving models via FastAPI, Flask, or TensorFlow Serving.",1
Machine Learning,MLOps Basics,Foundational,34,MLOps Basics,Version control for data and models using DVC and MLflow.,1
Machine Learning,Feature Engineering,Foundational,35,Feature Engineering,Creating new features from raw data to improve model performance.,1
Machine Learning,Hyperparameter Tuning,Intermediate,36,Hyperparameter Tuning,Optimizing model parameters using Grid Search and Random Search.,1
Machine Learning,Reinforcement Learning,Intermediate,37,Reinforcement Learning,Learning from environment feedback using Q-learning and Policy Gradients.,1
Machine Learning,Time Series Analysis,Intermediate,38,Time Series Analysis,Predicting future trends from historical sequential data.,1
Machine Learning,Recommender Systems,Intermediate,39,Recommender Systems,Building engines for personalized suggestions based on user behavior.,1
Machine Learning,AI Ethics & Fairness,Intermediate,40,AI Ethics & Fairness,Identifying and mitigating bias in machine learning models.,1
Machine Learning,LSTMs & Sequential Models,Intermediate,41,LSTMs & Sequential Models,"Master LSTMs & Sequential Models to build robust, industry-level Machine Learning projects. This module covers advanced techniques and real-world deployment strategies. Level 1 specialization.",1
Machine Learning,Transformers Architecture,Intermediate,42,Transformers Architecture,"Master Transformers Architecture to build robust, industry-level Machine Learning projects. This module covers advanced techniques and real-world deployment strategies. Level 1 specialization.",1
Machine Learning,BERT & Fine-tuning,Intermediate,43,BERT & Fine-tuning,"Master BERT & Fine-tuning to build robust, industry-level Machine Learning projects. This module covers advanced techniques and real-world deployment strategies. Level 1 specialization.",1
Machine Learning,GPT & Large Language Models,Intermediate,44,GPT & Large Language Models,"Master GPT & Large Language Models to build robust, industry-level Machine Learning projects. This module covers advanced techniques and real-world deployment strategies. Level 1 specialization.",1
Machine Learning,Object Detection (YOLO/R-CNN),Intermediate,45,Object Detection (YOLO/R-CNN),"Master Object Detection (YOLO/R-CNN) to build robust, industry-level Machine Learning projects. This module covers advanced techniques and real-world deployment strategies. Level 1 specialization.",1
Machine Learning,Image Segmentation (U-Net),Intermediate,46,Image Segmentation (U-Net),"Master Image Segmentation (U-Net) to build robust, industry-level Machine Learning projects. This module covers advanced techniques and real-world deployment strategies. Level 1 specialization.",1
Machine Learning,Generative Adversarial Nets (GANs),Intermediate,47,Generative Adversarial Nets (GANs),"Master Generative Adversarial Nets (GANs) to build robust, industry-level Machine Learning projects. This module covers advanced techniques and real-world deployment strategies. Level 1 specialization.",1
Machine Learning,Autoencoders for Denoising,Intermediate,48,Autoencoders for Denoising,"Master Autoencoders for Denoising to build robust, industry-level Machine Learning projects. This module covers advanced techniques and real-world deployment strategies. Level 1 specialization.",1
Machine Learning,XGBoost & Gradient Boosting,Intermediate,49,XGBoost & Gradient Boosting,"Master XGBoost & Gradient Boosting to build robust, industry-level Machine Learning projects. This module covers advanced techniques and real-world deployment strategies. Level 1 specialization.",1
Machine Learning,LightGBM High Performance,Intermediate,50,LightGBM High Performance,"Master LightGBM High Performance to build robust, industry-level Machine Learning projects. This module covers advanced techniques and real-world deployment strategies. Level 1 specialization.",1
Machine Learning,Bayesian Optimization,Intermediate,51,Bayesian Optimization,"Master Bayesian Optimization to build robust, industry-level Machine Learning projects. This module covers advanced techniques and real-world deployment strategies. Level 1 specialization.",1
Machine Learning,Hyperparameter Tuning (Optuna),Intermediate,52,Hyperparameter Tuning (Optuna),"Master Hyperparameter Tuning (Optuna) to build robust, industry-level Machine Learning projects. This module covers advanced techniques and real-world deployment strategies. Level 1 specialization.",1
Machine Learning,Time Series Forecasting,Intermediate,53,Time Series Forecasting,"Master Time Series Forecasting to build robust, industry-level Machine Learning projects. This module covers advanced techniques and real-world deployment strategies. Level 1 specialization.",1
Machine Learning,Anomaly Detection Patterns,Intermediate,54,Anomaly Detection Patterns,"Master Anomaly Detection Patterns to build robust, industry-level Machine Learning projects. This module covers advanced techniques and real-world deployment strategies. Level 1 specialization.",1
Machine Learning,Reinforcement Learning (Q-Learning),Intermediate,55,Reinforcement Learning (Q-Learning),"Master Reinforcement Learning (Q-Learning) to build robust, industry-level Machine Learning projects. This module covers advanced techniques and real-world deployment strategies. Level 1 specialization.",1
Machine Learning,Policy Gradient Methods,Intermediate,56,Policy Gradient Methods,"Master Policy Gradient Methods to build robust, industry-level Machine Learning projects. This module covers advanced techniques and real-world deployment strategies. Level 1 specialization.",1
Machine Learning,MLOps MLflow Integration,Intermediate,57,MLOps MLflow Integration,"Master MLOps MLflow Integration to build robust, industry-level Machine Learning projects. This module covers advanced techniques and real-world deployment strategies. Level 1 specialization.",1
Machine Learning,Model Deployment (FastAPI/Docker),Intermediate,58,Model Deployment (FastAPI/Docker),"Master Model Deployment (FastAPI/Docker) to build robust, industry-level Machine Learning projects. This module covers advanced techniques and real-world deployment strategies. Level 1 specialization.",1
Machine Learning,TFX Pipelines,Intermediate,59,TFX Pipelines,"Master TFX Pipelines to build robust, industry-level Machine Learning projects. This module covers advanced techniques and real-world deployment strategies. Level 1 specialization.",1
Machine Learning,TensorFlow Extended,Intermediate,60,TensorFlow Extended,"Master TensorFlow Extended to build robust, industry-level Machine Learning projects. This module covers advanced techniques and real-world deployment strategies. Level 1 specialization.",1
Machine Learning,PyTorch Lightning,Intermediate,61,PyTorch Lightning,"Master PyTorch Lightning to build robust, industry-level Machine Learning projects. This module covers advanced techniques and real-world deployment strategies. Level 1 specialization.",1
Machine Learning,Model Quantization,Intermediate,62,Model Quantization,"Master Model Quantization to build robust, industry-level Machine Learning projects. This module covers advanced techniques and real-world deployment strategies. Level 1 specialization.",1
Machine Learning,Edge AI Deployment,Intermediate,63,Edge AI Deployment,"Master Edge AI Deployment to build robust, industry-level Machine Learning projects. This module covers advanced techniques and real-world deployment strategies. Level 1 specialization.",1
Machine Learning,Federated Learning,Intermediate,64,Federated Learning,"Master Federated Learning to build robust, industry-level Machine Learning projects. This module covers advanced techniques and real-world deployment strategies. Level 1 specialization.",1
Machine Learning,Explainable AI (SHAP/LIME),Intermediate,65,Explainable AI (SHAP/LIME),"Master Explainable AI (SHAP/LIME) to build robust, industry-level Machine Learning projects. This module covers advanced techniques and real-world deployment strategies. Level 1 specialization.",1
Machine Learning,AI Ethics & Fairness,Intermediate,66,AI Ethics & Fairness,"Master AI Ethics & Fairness to build robust, industry-level Machine Learning projects. This module covers advanced techniques and real-world deployment strategies. Level 1 specialization.",1
Machine Learning,Graph Neural Networks,Intermediate,67,Graph Neural Networks,"Master Graph Neural Networks to build robust, industry-level Machine Learning projects. This module covers advanced techniques and real-world deployment strategies. Level 1 specialization.",1
Machine Learning,Recommender Systems (Collaborative Filtering),Intermediate,68,Recommender Systems (Collaborative Filtering),"Master Recommender Systems (Collaborative Filtering) to build robust, industry-level Machine Learning projects. This module covers advanced techniques and real-world deployment strategies. Level 1 specialization.",1
Machine Learning,Content-Based Filtering,Intermediate,69,Content-Based Filtering,"Master Content-Based Filtering to build robust, industry-level Machine Learning projects. This module covers advanced techniques and real-world deployment strategies. Level 1 specialization.",1
Machine Learning,Deep Q-Networks (DQN),Intermediate,70,Deep Q-Networks (DQN),"Master Deep Q-Networks (DQN) to build robust, industry-level Machine Learning projects. This module covers advanced techniques and real-world deployment strategies. Level 1 specialization.",1
